,prof_after_women_postproc,cat,cat_named,freq,cluster_kmeans_NKRL,cluster_agglomerative_NKRL,cluster_kmeans_Taiga,cluster_agglomerative_Taiga,cluster_kmeans_Wiki,cluster_agglomerative_Wiki
290,инженер-технолог,8,"Просвещение, наука, искусство, печать",214,,,,,,
291,водопроводчик,7,Жилищное и коммунальное хозяйство,213,3.0,5.0,7.0,1.0,7.0,1.0
292,военрук,0,Армия,212,3.0,0.0,8.0,5.0,0.0,1.0
293,швея,1,Промышленность,208,3.0,12.0,6.0,1.0,7.0,1.0
294,слесарь-водопроводчик,1,Промышленность,203,,,,,,
295,заправщик,1,Промышленность,202,3.0,8.0,2.0,1.0,12.0,10.0
296,актер,8,"Просвещение, наука, искусство, печать",202,4.0,4.0,4.0,4.0,11.0,2.0
297,оперуполномоченный,0,Армия,202,,,,,,
298,слесарь-инструментальщик,1,Промышленность,200,,,,,,
299,плановик-экономист,10,"Государственные учреждения, партийные и общественные организации",199,,,,,,
300,корректор,8,"Просвещение, наука, искусство, печать",199,3.0,6.0,4.0,4.0,0.0,7.0
301,такелажник,1,Промышленность,196,3.0,5.0,1.0,1.0,,
302,печатник,8,"Просвещение, наука, искусство, печать",194,3.0,6.0,6.0,4.0,7.0,1.0
303,судья,10,"Государственные учреждения, партийные и общественные организации",194,8.0,3.0,4.0,5.0,12.0,1.0
304,лама,12,Служители культа,193,3.0,1.0,12.0,3.0,5.0,8.0
305,электротехник,1,Промышленность,192,3.0,6.0,5.0,1.0,1.0,2.0
306,лоцман,5,Транспорт и связь,191,2.0,5.0,11.0,1.0,7.0,1.0
307,кондитер,6,"Торговля, заготовки и общественное питание",190,3.0,5.0,6.0,1.0,7.0,1.0
308,бухгалтер-ревизор,10,"Государственные учреждения, партийные и общественные организации",190,,,,,,
309,переплетчик,8,"Просвещение, наука, искусство, печать",187,3.0,6.0,6.0,4.0,7.0,1.0
310,сигналист,1,Промышленность,185,3.0,5.0,,,2.0,1.0
311,лесообъездчик,3,Лесное хозяйство,184,3.0,5.0,,,,
312,прач,7,Жилищное и коммунальное хозяйство,183,,,,,,
313,пилоправ,3,Лесное хозяйство,183,,,,,,
314,рамщик,4,Строительство,180,,,,,,
315,медник,1,Промышленность,180,3.0,5.0,6.0,1.0,7.0,1.0
316,автомеханик,1,Промышленность,179,3.0,5.0,7.0,1.0,7.0,1.0
317,воентехник,1,Промышленность,177,3.0,0.0,,,6.0,1.0
318,бакенщик,5,Транспорт и связь,177,3.0,2.0,10.0,1.0,7.0,1.0
319,агротехник,1,Промышленность,176,3.0,2.0,5.0,9.0,10.0,9.0
320,надсмотрщик,0,Армия,175,3.0,5.0,2.0,0.0,12.0,1.0
321,техник-нормировщик,1,Промышленность,172,,,,,,
322,проходчик,1,Промышленность,172,3.0,5.0,7.0,1.0,4.0,1.0
323,санинструктор,9,Здравоохранение,172,3.0,0.0,3.0,0.0,6.0,1.0
324,поселенец,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,168,2.0,12.0,0.0,2.0,8.0,4.0
325,регистратор,10,"Государственные учреждения, партийные и общественные организации",167,3.0,3.0,2.0,1.0,3.0,12.0
326,чистильщик,7,Жилищное и коммунальное хозяйство,166,3.0,5.0,2.0,1.0,7.0,1.0
327,снабженец,6,"Торговля, заготовки и общественное питание",165,3.0,5.0,7.0,1.0,12.0,1.0
328,протоиерей,12,Служители культа,164,12.0,1.0,12.0,3.0,5.0,8.0
329,прапорщик,0,Армия,163,0.0,0.0,3.0,0.0,6.0,1.0
330,инженер-экономист,8,"Просвещение, наука, искусство, печать",162,,,,,,
331,епископ,12,Служители культа,162,12.0,1.0,12.0,3.0,5.0,8.0
332,банщик,7,Жилищное и коммунальное хозяйство,160,3.0,5.0,2.0,1.0,7.0,1.0
333,монаш,12,Служители культа,158,,,,,,
334,казначей,10,"Государственные учреждения, партийные и общественные организации",155,3.0,5.0,9.0,0.0,0.0,1.0
335,гуртоправ,2,Сельское хозяйство,153,,,,,,
336,химик,8,"Просвещение, наука, искусство, печать",152,9.0,6.0,5.0,1.0,11.0,2.0
337,письмоносец,5,Транспорт и связь,152,3.0,5.0,6.0,0.0,12.0,1.0
338,сверловщик,1,Промышленность,152,,,,,,
339,арматурщик,1,Промышленность,152,,,,,,
340,аппаратчик,1,Промышленность,152,3.0,3.0,7.0,1.0,4.0,1.0
341,оператор,1,Промышленность,151,1.0,4.0,4.0,1.0,3.0,10.0
342,курьер,5,Транспорт и связь,151,3.0,3.0,2.0,0.0,12.0,1.0
343,фармацевт,9,Здравоохранение,150,3.0,9.0,5.0,5.0,11.0,1.0
344,крановщик,4,Строительство,149,1.0,5.0,1.0,1.0,2.0,1.0
345,колесник,1,Промышленность,149,3.0,2.0,7.0,1.0,7.0,1.0
346,техник-конструктор,1,Промышленность,148,,,,,,
347,инженер-химик,8,"Просвещение, наука, искусство, печать",147,,,,,,
348,ветеринар,9,Здравоохранение,147,6.0,9.0,5.0,5.0,11.0,1.0
349,воспитатель,9,Здравоохранение,146,10.0,6.0,8.0,5.0,9.0,2.0
350,водовоз,5,Транспорт и связь,143,3.0,5.0,1.0,1.0,7.0,1.0
351,автослесарь,1,Промышленность,143,3.0,5.0,7.0,1.0,,
352,адвокат,10,"Государственные учреждения, партийные и общественные организации",143,8.0,3.0,4.0,5.0,11.0,2.0
353,наладчик,1,Промышленность,141,3.0,5.0,7.0,1.0,4.0,1.0
354,акушер,9,Здравоохранение,140,6.0,9.0,5.0,5.0,11.0,1.0
355,историк,8,"Просвещение, наука, искусство, печать",140,4.0,6.0,4.0,4.0,11.0,2.0
356,аспирант,8,"Просвещение, наука, искусство, печать",139,6.0,6.0,5.0,5.0,9.0,2.0
357,следователь,0,Армия,138,8.0,3.0,2.0,5.0,12.0,1.0
358,завскладом,7,Жилищное и коммунальное хозяйство,137,3.0,5.0,7.0,1.0,3.0,1.0
359,военврач,9,Здравоохранение,137,3.0,0.0,3.0,0.0,6.0,1.0
360,землемер,2,Сельское хозяйство,135,3.0,2.0,6.0,1.0,7.0,1.0
361,десятник-строитель,4,Строительство,134,,,,,,
362,арендатор,7,Жилищное и коммунальное хозяйство,134,3.0,12.0,0.0,12.0,3.0,4.0
363,управдом,7,Жилищное и коммунальное хозяйство,134,3.0,3.0,2.0,1.0,12.0,1.0
364,няня,9,Здравоохранение,133,3.0,10.0,2.0,11.0,12.0,1.0
365,администратор,10,"Государственные учреждения, партийные и общественные организации",133,11.0,3.0,2.0,0.0,0.0,1.0
366,авиатехник,8,"Просвещение, наука, искусство, печать",130,3.0,8.0,7.0,1.0,12.0,10.0
367,производитель,2,Сельское хозяйство,130,9.0,8.0,11.0,12.0,3.0,4.0
368,архитектор,4,Строительство,130,9.0,6.0,4.0,1.0,11.0,2.0
369,вальцовщик,1,Промышленность,130,3.0,5.0,,,4.0,1.0
370,штурман,5,Транспорт и связь,128,2.0,5.0,3.0,1.0,6.0,1.0
371,топограф,8,"Просвещение, наука, искусство, печать",126,3.0,2.0,5.0,1.0,11.0,1.0
372,гардеробщик,7,Жилищное и коммунальное хозяйство,125,3.0,5.0,2.0,0.0,12.0,1.0
373,писатель,8,"Просвещение, наука, искусство, печать",125,4.0,6.0,4.0,4.0,11.0,2.0
374,путеобходчик,1,Промышленность,124,,,,,,
375,обойщик,1,Промышленность,124,3.0,5.0,,,7.0,1.0
376,таксировщик,5,Транспорт и связь,124,,,,,,
377,доктор,9,Здравоохранение,123,6.0,9.0,5.0,5.0,11.0,1.0
378,лесовод,3,Лесное хозяйство,122,3.0,6.0,5.0,1.0,11.0,2.0
379,вагоновожатый,5,Транспорт и связь,121,,,,,,
380,закупщик,6,"Торговля, заготовки и общественное питание",120,3.0,12.0,11.0,12.0,3.0,4.0
381,монтажник,1,Промышленность,119,1.0,5.0,7.0,1.0,4.0,1.0
382,литератор,8,"Просвещение, наука, искусство, печать",118,4.0,6.0,4.0,4.0,11.0,2.0
383,техник-механик,1,Промышленность,118,,,,,,
384,боцман,1,Промышленность,118,2.0,5.0,3.0,1.0,6.0,1.0
385,иеромонах,12,Служители культа,117,12.0,1.0,12.0,3.0,5.0,8.0
386,штамповщик,1,Промышленность,117,,,,,,
387,сырьевщик,1,Промышленность,117,,,,,,
388,инкассатор,5,Транспорт и связь,116,3.0,5.0,2.0,0.0,12.0,1.0
389,красногвардеец,0,Армия,115,7.0,0.0,0.0,0.0,12.0,1.0
390,ломовой,5,Транспорт и связь,114,,,,,,
391,масленщик,1,Промышленность,113,,,,,,
392,комбриг,1,Промышленность,112,7.0,0.0,3.0,0.0,6.0,1.0
393,слесарь-монтажник,1,Промышленность,112,,,,,,
394,корреспондент,8,"Просвещение, наука, искусство, печать",110,11.0,3.0,4.0,4.0,0.0,2.0
395,укладчик,1,Промышленность,110,3.0,5.0,7.0,1.0,2.0,1.0
396,каталь,1,Промышленность,110,3.0,5.0,,,,
397,шахтер,1,Промышленность,107,5.0,5.0,1.0,1.0,7.0,1.0
398,рубщик,1,Промышленность,106,3.0,2.0,11.0,1.0,,
399,завмаг,6,"Торговля, заготовки и общественное питание",106,3.0,5.0,2.0,1.0,12.0,1.0
